date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2017-02-14,668.891754695,354.0,253755.0,2e-05,84.0,3290040.0,52.2351949989,
2017-02-15,310.985205302,366.0,284412.0,2.2e-05,61.0,3280680.0,81.8182990008,
2017-02-16,107.357549025,319.0,265558.0,2.1e-05,136.0,3199560.0,51.3519700001,
2017-02-17,2956.65900768,367.0,279888.0,2.2e-05,75.0,3213600.0,948.525512001,
2017-02-18,1135.83056257,389.0,316835.0,2.5e-05,883.0,3319680.0,56.605639003,
2017-02-19,71.767711946,309.0,277790.0,2.2e-05,321.0,3073200.0,43.723042,
2017-02-20,215.379273263,354.0,283732.0,2.2e-05,63.0,3247920.0,54.0656949991,
2017-02-21,75.6290560291,308.0,285522.0,2.2e-05,367.0,2990520.0,45.856057,
2017-02-22,92.6002374044,376.0,285243.0,2.2e-05,280.0,3222960.0,51.4136300001,
2017-02-23,84.8439930167,373.0,285875.0,2.2e-05,58.0,3378960.0,56.828973,
2017-02-24,177.932879231,306.0,314010.0,2.5e-05,456.0,3383640.0,48.6117309999,
2017-02-25,125.878328745,405.0,300684.0,2.4e-05,589.0,3661320.0,673.86935,
2017-02-26,162.161231705,343.0,304681.0,2.4e-05,370.0,3456960.0,48.9976580002,
2017-02-27,94.8294448246,350.0,297776.0,2.3e-05,189.0,3534960.0,48.9432580001,
2017-02-28,188.502025812,277.0,302110.0,2.4e-05,425.0,3222960.0,44.4897510003,
2017-03-01,46.9722616195,354.0,153386.0,1.2e-05,873.0,3135600.0,51.4036539999,
2017-03-02,294.526822819,346.0,314109.0,2.5e-05,935.0,3232320.0,54.4319719996,
2017-03-03,63.6614284283,311.0,162686.0,1.3e-05,869.0,3251040.0,4194.039862,
2017-03-04,373.832972473,370.0,329446.0,2.6e-05,332.0,3533400.0,54.9484199996,
2017-03-05,85.5137787455,462.0,167029.0,1.3e-05,432.0,3385200.0,568.810979,
2017-03-06,359.613285077,266.0,324450.0,2.5e-05,155.0,3296280.0,66.1344460002,
2017-03-07,158.350083417,243.0,325815.0,2.5e-05,192.0,3414840.0,2012.986546,
2017-03-08,85.920490866,248.0,312987.0,2.4e-05,37.0,3577080.0,39.0121240002,
2017-03-09,55.9945921292,322.0,161766.0,1.3e-05,85.0,3513120.0,406.507238,
2017-03-10,108.501490112,317.0,304321.0,2.4e-05,631.0,3304080.0,254.833299,
2017-03-11,311.279844558,288.0,190322.0,1.5e-05,59.0,3062280.0,40.5370340011,
2017-03-12,139.279123847,296.0,301061.0,2.4e-05,297.0,3138720.0,835.119481,
2017-03-13,1407.72237899,372.0,390260.0,3.1e-05,683.0,3313440.0,932.550028997,
2017-03-14,88.4717848521,355.0,311118.0,2.4e-05,1111.0,3544320.0,48.783072,
2017-03-15,216.047411819,356.0,314699.0,2.5e-05,528.0,3341520.0,47.0726399995,
2017-03-16,184.772462679,292.0,363351.0,2.8e-05,126.0,3060720.0,40.1547779999,
2017-03-17,92.2018017137,252.0,342644.0,2.7e-05,449.0,2934360.0,245.147973,
2017-03-18,43370.9887056,404.0,280114.0,2.2e-05,697.0,2940600.0,60.532110929,
2017-03-19,556.306327361,312.0,317083.0,2.5e-05,839.0,3038880.0,41.5297610008,
2017-03-20,1881.23675877,218.0,265266.0,2.1e-05,748.0,3043560.0,39.2514149989,
2017-03-21,495.655693029,363.0,270034.0,2.1e-05,824.0,2970240.0,50.6056939996,
2017-03-22,60.9761704674,264.0,148096.0,1.2e-05,2983.0,2769000.0,725.709481001,
2017-03-23,87.346970426,224.0,399839.0,3.1e-05,2517.0,2881320.0,241.62733,
2017-03-24,181.365971874,222.0,393481.0,3.1e-05,1567.0,2951520.0,33.0704660005,
2017-03-25,58.8349318219,275.0,240132.0,1.9e-05,3310.0,2895360.0,40.5729500001,
2017-03-26,687.353922552,206.0,372867.0,2.9e-05,1524.0,3159000.0,101.719592998,
2017-03-27,121.301145536,248.0,369645.0,2.9e-05,1982.0,3237000.0,39.4082919998,
2017-03-28,199.516508664,219.0,396147.0,3.1e-05,10556.0,3233880.0,36.6860490001,
2017-03-29,80183.2330035,281.0,401401.0,3.1e-05,33895.0,3173040.0,67.0811520785,
2017-03-30,7778.29039161,208.0,639471.0,5e-05,13082.0,2792400.0,47.9998780105,
2017-03-31,202.097722195,153.0,524939.0,4.1e-05,8038.0,3531840.0,29.8847860002,
2017-04-01,228.214237473,263.0,547029.0,4.3e-05,2805.0,3712800.0,47.0685810001,
2017-04-02,1394.61097423,266.0,684551.0,5.4e-05,3778.0,3324360.0,816.637345001,
